ICAO;IATA;AirportName;City;Country;Latitude;Longitude;Altitude
FANH;N/A;;NEW HANOVER;SOUTH AFRICA;0;0;0
FANL;N/A;;NEW LARGO;SOUTH AFRICA;0;0;0
FANS;NLP;NELSPRUIT;NELSPRUIT;SOUTH AFRICA;-25.50055556;30.91333333;884.2248
FANV;N/A;;NIEUWOUDTVILLE;SOUTH AFRICA;0;0;0
FANY;N/A;NYLSTROOM;NYLSTROOM;SOUTH AFRICA;-24.68583333;28.43472222;1188.72
FAOA;OND;;ONDANGWA;NAMIBIA;0;0;0
FAOB;N/A;OVERBERG;OVERBERG;SOUTH AFRICA;-34.55527778;20.25027778;15.8496
FAOD;N/A;;ODENDAALSRUS;SOUTH AFRICA;0;0;0
FAOE;N/A;;OMEGA;NAMIBIA;0;0;0
FAOF;N/A;;OLIFANTSHOEK;SOUTH AFRICA;0;0;0
FAOG;OMD;;ORANJEMUND;NAMIBIA;0;0;0
FAOH;DUH;OUDTSHOORN;OUDTSHOORN;SOUTH AFRICA;-33.60694444;22.18888889;324.0024
FAOI;N/A;;ORIENT;SOUTH AFRICA;0;0;0
FAOJ;N/A;;OUTJO;NAMIBIA;0;0;0
FAOK;N/A;;OKAKARARA;NAMIBIA;0;0;0
FAOL;N/A;;OTHAWA;SOUTH AFRICA;0;0;0
FAON;N/A;;OKAHANDJA;NAMIBIA;0;0;0
FAOO;OKF;;OKAUKUEJO;NAMIBIA;0;0;0
FAOR;N/A;;OLIFANTS RIVER BRIDGE;SOUTH AFRICA;0;0;0
FAOS;OHI;;OSHAKATI;NAMIBIA;0;0;0
FAOT;N/A;;OTTOSDAL;SOUTH AFRICA;0;0;0
FAOU;N/A;;OPERET;NAMIBIA;0;0;0
FAOV;N/A;;OTAVI;NAMIBIA;0;0;0
FAOW;N/A;;OTJIWARONGO;NAMIBIA;0;0;0
FAOY;N/A;;ORKNEY;SOUTH AFRICA;0;0;0
FAPA;N/A;;PORT ALFRED;SOUTH AFRICA;0;0;0
FAPB;N/A;PIETERSBURG INTERNATIONAL;PIETERSBURG;SOUTH AFRICA;-23.84527778;29.45861111;1242.3648
FAPC;N/A;;PRINCE ALBERT;SOUTH AFRICA;0;0;0
FAPD;N/A;;POFADDER;SOUTH AFRICA;0;0;0
FAPE;PLZ;PORT ELIZABETH;PORT ELIZABETH;SOUTH AFRICA;-33.98472222;25.61722222;68.8848
FAPF;N/A;;PIET RETIEF;SOUTH AFRICA;0;0;0
FAPG;N/A;PLETTENBERG BAY;PLETTENBERG BAY;SOUTH AFRICA;-34.09027778;23.32777778;141.732
FAPH;PHW;PHALABORWA;PHALABORWA;SOUTH AFRICA;-23.93694444;31.15527778;436.4736
FAPI;PTG;PIETERSBURG MUNI;PIETERSBURG;SOUTH AFRICA;-23.92583333;29.48416667;1327.0992
FAPJ;N/A;PORT ST JOHNS;PORT SAINT JOHNS;SOUTH AFRICA;-31.60583333;29.51972222;373.9896
FAPK;N/A;;PRIESKA;SOUTH AFRICA;0;0;0
FAPL;N/A;;PONGOLA;SOUTH AFRICA;0;0;0
FAPM;PZB;PIETERMARITZBURG;PIETERMARITZBURG;SOUTH AFRICA;-29.64888889;30.39861111;738.5304
FAPN;NTY;PILANESBERG;PILANESBERG;SOUTH AFRICA;-25.33361111;27.17333333;1039.9776
FAPO;N/A;;PHILIPPOLIS;SOUTH AFRICA;0;0;0
FAPP;N/A;POTGIETERSRUS;POTGIETERSRUS;SOUTH AFRICA;-24.23027778;28.98361111;1066.8
FAPQ;N/A;POMFRET;POMFRET;SOUTH AFRICA;-25.84694444;23.53777778;1164.336
FAPS;N/A;POTCHEFSTROOM;POTCHEFSTROOM;SOUTH AFRICA;-26.67083333;27.08166667;1377.696
FAPT;N/A;;POSTMASBURG;SOUTH AFRICA;0;0;0
FAPV;N/A;;PETRUSVILLE;SOUTH AFRICA;0;0;0
FAPW;N/A;;PIETERSRUS;SOUTH AFRICA;0;0;0
FAPY;N/A;PARYS;PARYS;SOUTH AFRICA;-26.88916667;27.50333333;1444.752
FAPZ;N/A;;PROGRESS;SOUTH AFRICA;0;0;0
FAQT;UTW;QUEENSTOWN;QUEENSTOWN;SOUTH AFRICA;-31.92;26.88194444;1108.5576
FARB;RCB;RICHARDS BAY;RICHARD'S BAY;SOUTH AFRICA;-28.74083333;32.09194444;33.2232
FARC;N/A;;RUACANA;NAMIBIA;0;0;0
FARD;N/A;;RIVERSDALE;SOUTH AFRICA;0;0;0
FARG;N/A;RUSTENBURG;RUSTENBURG;SOUTH AFRICA;-25.64416667;27.27111111;1127.76
FARH;N/A;;REHOBOTH;NAMIBIA;0;0;0
FARI;N/A;;REIVILO;SOUTH AFRICA;0;0;0
FARK;WVB;;WALVIS BAY;NAMIBIA;0;0;0
FARO;N/A;;ROOIBERG;SOUTH AFRICA;0;0;0
FARP;N/A;;ROSH PINAH;NAMIBIA;0;0;0
FARS;N/A;ROBERTSON;ROBERTSON;SOUTH AFRICA;-33.81194444;19.90277778;195.072
FARU;NDU;;RUNDU;NAMIBIA;0;0;0
FARZ;N/A;;REITZ;SOUTH AFRICA;0;0;0
FASA;N/A;;SANI PASS;SOUTH AFRICA;0;0;0
FASB;SBU;SPRINGBOK;SPRINGBOK;SOUTH AFRICA;-29.68916667;17.93944444;819.912
FASC;N/A;SECUNDA;SECUNDA;SOUTH AFRICA;-26.52388889;29.17;1600.2
FASD;N/A;SALDANHA VREDENBURG;SALDANHA;SOUTH AFRICA;-32.96388889;17.96916667;15.24
FASE;N/A;;SANAE;SOUTH AFRICA;0;0;0
FASG;N/A;;SCHWEIZER RENEKE;SOUTH AFRICA;0;0;0
FASH;N/A;;STELLENBOSCH;SOUTH AFRICA;0;0;0
FASI;N/A;SPRINGS;SPRINGS;SOUTH AFRICA;-26.24833333;28.3975;1627.632
FASK;N/A;SWARTKOP;SWARTKOP;SOUTH AFRICA;-25.80944444;28.16444444;1456.944
FASL;N/A;;SUTHERLAND;SOUTH AFRICA;0;0;0
FASM;SWP;;SWAKOPMUND;NAMIBIA;0;0;0
FASN;N/A;;SENEKAL;SOUTH AFRICA;0;0;0
FASO;N/A;;STORMSRIVER;SOUTH AFRICA;0;0;0
FASP;N/A;;SIR LOWRY'S PASS;SOUTH AFRICA;0;0;0
FASQ;N/A;;SEAGULLS;SOUTH AFRICA;0;0;0
FASR;N/A;;STANDERTON;SOUTH AFRICA;0;0;0
FASS;SIS;SISHEN;SISHEN;SOUTH AFRICA;-27.64833333;22.99916667;1172.8704
FAST;N/A;;SOMERSET EAST;SOUTH AFRICA;0;0;0
FASU;N/A;SACE;SACE;SOUTH AFRICA;-25.96138889;29.20861111;1569.4152
FASV;N/A;;SILVER MINE;SOUTH AFRICA;0;0;0
FASX;N/A;;SWELLENDAM;SOUTH AFRICA;0;0;0
FASZ;SZK;SKUKUZA;SKUKUZA;SOUTH AFRICA;-24.96083333;31.58861111;310.896
FATB;N/A;;THORNY BUSH GAME LODGE;SOUTH AFRICA;0;0;0
FATC;N/A;;TRISTAN DA CUNHA ISL.;SOUTH AFRICA;0;0;0
FATF;N/A;TOMMYS FLD;TOMMY'S FIELD;SOUTH AFRICA;-28.26;22.99305556;1328.928
FATH;THY;P R MPHEPHU;THOHOYANDOU;SOUTH AFRICA;-23.07861111;30.38333333;615.0864
FATK;N/A;;TSUMKWE;NAMIBIA;0;0;0
FATM;TSB;;TSUMEB;NAMIBIA;0;0;0
FATN;TCU;THABA NCHU;THABA NCHU;BOPHUTHATSWANA;-29.31916667;26.82333333;1502.9688
FATP;N/A;NEW TEMPE;BLOEMFONTEIN;SOUTH AFRICA;-29.03277778;26.1575;1385.9256
FATR;N/A;;TRENNERIES;SOUTH AFRICA;0;0;0
FATT;N/A;TUTUKA POWER STATION;TUTUKA;SOUTH AFRICA;-26.77638889;29.33861111;1619.4024
FATZ;LTA;TZANEEN;TZANEEN;SOUTH AFRICA;-23.82416667;30.32916667;583.3872
FAUC;N/A;;ULCO;SOUTH AFRICA;0;0;0
FAUH;N/A;;UITENHAGE;SOUTH AFRICA;0;0;0
FAUK;N/A;;USAKOS;NAMIBIA;0;0;0
FAUL;ULD;PRINCE MANGOSUTHU BUTHELEZI;ULUNDI;SOUTH AFRICA;-28.32055556;31.41638889;524.256
FAUP;UTN;UPINGTON;UPINGTON;SOUTH AFRICA;-28.40083333;21.26055556;850.6968
FAUR;N/A;;ULTRECHT;SOUTH AFRICA;0;0;0
FAUS;N/A;;UIS;NAMIBIA;0;0;0
FAUT;UTT;UMTATA;UMTATA;SOUTH AFRICA;-31.54777778;28.67416667;731.52
FAVA;N/A;;VAALPUTS;SOUTH AFRICA;0;0;0
FAVB;VRU;VRYBURG;VRYBURG;SOUTH AFRICA;-26.98222222;24.72861111;1194.816
FAVD;N/A;;VREDE;SOUTH AFRICA;0;0;0
FAVE;N/A;;VENTERSDORP;SOUTH AFRICA;0;0;0
FAVF;N/A;;VERBORGENFONTEIN;SOUTH AFRICA;0;0;0
FAVG;VIR;VIRGINIA;DURBAN;SOUTH AFRICA;-29.77055556;31.05833333;6.096
FAVI;N/A;;VON ABO'S VILLA;SOUTH AFRICA;0;0;0
FAVP;N/A;VANDERBIJLPARK;VANDERBIJLPARK;SOUTH AFRICA;-26.69222222;27.77777778;1483.4616
FAVR;N/A;VREDENDAL;VREDENDAL;SOUTH AFRICA;-31.64083333;18.54472222;100.584
FAVU;N/A;;VOLKSRUST;SOUTH AFRICA;0;0;0
FAVV;N/A;VEREENIGING;VEREENIGING;SOUTH AFRICA;-26.56611111;27.96055556;1477.0608
FAVW;N/A;;VICTORIA WEST;SOUTH AFRICA;0;0;0
FAVY;VYD;VRYHEID;VRYHEID;SOUTH AFRICA;-27.78666667;30.79527778;1158.24
FAWA;N/A;;WARM BATH;SOUTH AFRICA;0;0;0
FAWB;PRY;WONDERBOOM;PRETORIA;SOUTH AFRICA;-25.65361111;28.22416667;1248.156
FAWC;N/A;;WORCESTER;SOUTH AFRICA;0;0;0
FAWD;N/A;;WARDEN;SOUTH AFRICA;0;0;0
FAWE;WDH;;WINDHOEK;NAMIBIA;0;0;0
FAWH;N/A;;WINDHOEK;NAMIBIA;0;0;0
FAWI;N/A;WITBANK;WITBANK;SOUTH AFRICA;-25.83222222;29.19194444;1547.7744
FAWK;N/A;WATERKLOOF AFB;WATERKLOOF;SOUTH AFRICA;-25.83;28.2225;1505.712
FAWL;N/A;;WILLISTON;SOUTH AFRICA;0;0;0
FAWM;WEL;WELKOM;WELKOM;SOUTH AFRICA;-27.99777778;26.66944444;1340.8152
FAWN;N/A;;WINBURG;SOUTH AFRICA;0;0;0
FAWO;N/A;;WILLOWMORE;SOUTH AFRICA;0;0;0
FAWP;N/A;;WEPENER;SOUTH AFRICA;0;0;0
FAWR;N/A;;WAVECREST;SOUTH AFRICA;0;0;0
FAWS;N/A;WESSELSBRON;WESSELSBRUNN;SOUTH AFRICA;-27.84722222;26.34972222;1280.16
FAWT;N/A;;WESTERBURG;SOUTH AFRICA;0;0;0
FAWY;N/A;;WOLSELEY;SOUTH AFRICA;0;0;0
FAYP;N/A;YSTERPLAAT;YSTERPLAAT;SOUTH AFRICA;-33.9;18.49805556;15.8496
FAZA;N/A;;ZASTRON;SOUTH AFRICA;0;0;0
FAZP;N/A;;MAZEPPA;SOUTH AFRICA;0;0;0
FAZR;N/A;ZEERUST;ZEERUST;SOUTH AFRICA;-25.59888889;26.04222222;1297.8384
FBCO;N/A;;CAMP OKAVANGO;BOTSWANA;0;0;0
FBFT;FRW;FRANCISTOWN;FRANCISTOWN;BOTSWANA;-21.15944444;27.47444444;1000.6584
FBGM;N/A;;GOMARE;BOTSWANA;0;0;0
FBGZ;GNZ;;GHANZI;BOTSWANA;0;0;0
FBJW;JWA;JWANENG;JWANENG;BOTSWANA;-24.60222222;24.69083333;1188.72
FBKE;BBK;KASANE;KASANE;BOTSWANA;-17.83277778;25.16222222;1002.4872
FBKG;N/A;;KANG;BOTSWANA;0;0;0
FBKR;KHW;;KHWAI RIVER LODGE;BOTSWANA;0;0;0
FBKY;N/A;;KANYE;BOTSWANA;0;0;0
FBLO;N/A;;LOBATSE;BOTSWANA;0;0;0
FBMG;N/A;;MACHANENG;BOTSWANA;0;0;0
FBML;N/A;;MOLEPOLOLE;BOTSWANA;0;0;0
FBMM;N/A;;MAKALAMABEDI;BOTSWANA;0;0;0
FBMN;MUB;MAUN;MAUN;BOTSWANA;-19.9725;23.43083333;942.7464
FBMS;N/A;;MOSETSE;BOTSWANA;0;0;0
FBNN;N/A;;NOKANENG;BOTSWANA;0;0;0
FBNT;N/A;;NATA;BOTSWANA;0;0;0
FBNW;N/A;;GABORONE;BOTSWANA;0;0;0
FBOK;N/A;;OKWA;BOTSWANA;0;0;0
FBOR;ORP;ORAPA;ORAPA;BOTSWANA;-21.26638889;25.32027778;944.88
FBPA;N/A;;PANDAMATENGA;BOTSWANA;0;0;0
FBPY;N/A;;PALAPYE;BOTSWANA;0;0;0
FBRK;N/A;;RAKOPS;BOTSWANA;0;0;0
FBSD;N/A;;SERONDELA;BOTSWANA;0;0;0
FBSK;GBE;SIR SERETSE KHAMA INTERNATIONAL;GABERONE;BOTSWANA;-24.555;25.91805556;1005.5352
FBSP;PKW;SELEBI PHIKWE;SELEBI-PHIKWE;BOTSWANA;-22.05833333;27.82861111;891.54
FBSR;N/A;;SEROWE;BOTSWANA;0;0;0
FBSV;N/A;;SAVUTI;BOTSWANA;0;0;0
FBSW;SWX;;SHAKAWE;BOTSWANA;0;0;0
FBTE;N/A;;TSHANE;BOTSWANA;0;0;0
FBTL;TLD;;TULI LODGE;BOTSWANA;0;0;0
FBTS;TBY;;TSHABONG;BOTSWANA;0;0;0
FBXG;N/A;;XUGANA;BOTSWANA;0;0;0
FBXX;N/A;;XAXABA;BOTSWANA;0;0;0
FCBA;N/A;;LA LOUILA;CONGO;0;0;0
FCBB;BZV;BRAZZAVILLE MAYA MAYA;BRAZZAVILLE;CONGO;-4.251666667;15.25277778;319.4304
FCBD;DJM;;DJAMBALA;CONGO;0;0;0
FCBG;N/A;;MADINGOU;CONGO;0;0;0
FCBK;KNJ;;KINDAMBA;CONGO;0;0;0
FCBL;LCO;;LAGUE;CONGO;0;0;0
FCBM;MUY;;MUYONDZI;CONGO;0;0;0
FCBO;N/A;;M'POUYA;CONGO;0;0;0
FCBP;N/A;;M'PASSA;CONGO;0;0;0
FCBS;SIB;;SIBITI;CONGO;0;0;0
FCBT;N/A;;LOUTETE;CONGO;0;0;0
FCBU;N/A;;AUBEVILLE;CONGO;0;0;0
FCBY;NKY;;N'KAYI;CONGO;0;0;0
FCBZ;N/A;;ZANAGA;CONGO;0;0;0
FCMA;N/A;;MAVINZA;CONGO;0;0;0
FCMB;N/A;;N'ZIBA;CONGO;0;0;0
FCMD;N/A;;VOUKA;CONGO;0;0;0
FCMF;N/A;;LOUFOULA;CONGO;0;0;0
FCMG;N/A;;GOKANGO;CONGO;0;0;0
FCMI;N/A;;IROGO;CONGO;0;0;0
FCMK;N/A;;KELE;CONGO;0;0;0
FCML;N/A;;LEBOULOU;CONGO;0;0;0
FCMM;N/A;;MOSSENDJO;CONGO;0;0;0
FCMN;N/A;;N'GONGO;CONGO;0;0;0
FCMO;N/A;;VOUKA;CONGO;0;0;0
FCMR;N/A;;MARALA;CONGO;0;0;0
FCMS;N/A;;NYANGA;CONGO;0;0;0
FCMT;N/A;;BEKOL;CONGO;0;0;0
FCMY;N/A;;MAYOKO;CONGO;0;0;0
FCMZ;N/A;;N'ZABI;CONGO;0;0;0
FCOB;BOE;;BOUNDJI;CONGO;0;0;0
FCOE;EWO;;EWO;CONGO;0;0;0
FCOG;GMM;;GAMBOMA;CONGO;0;0;0
FCOI;ION;IMPFONDO;IMPFONDO;CONGO;1.589444444;18.04694444;334.9752
FCOK;KEE;;KELLE;CONGO;0;0;0
FCOL;N/A;;LOUKOLELA;CONGO;0;0;0
FCOM;MKJ;MAKOUA;MAKOUA;CONGO;-0.021388889;15.57527778;392.8872
FCOO;FTX;OWANDO;OWANDO;CONGO;-0.531111111;15.95;370.0272
FCOS;SOE;;SOUANKE;CONGO;0;0;0
FCOT;BTB;;BETOU;CONGO;0;0;0
FCOU;OUE;OUESSO;OUESSO;CONGO;1.615833333;16.03777778;352.9584
FCPA;KMK;MAKABANA;MAKABANA;CONGO;-3.483333333;12.61666667;150.876
FCPB;N/A;;BANGAMBA;CONGO;0;0;0
FCPD;DIS;DOLISIE;LOUDIMA;CONGO;-4.207777778;12.66083333;328.8792
FCPE;N/A;;LEGANDA;CONGO;0;0;0
FCPG;N/A;;KIBANGOU;CONGO;0;0;0
FCPI;N/A;;VOUNDA;CONGO;0;0;0
FCPK;N/A;;N'KOMO;CONGO;0;0;0
FCPL;DIS;;LOUBOMO;CONGO;0;0;0
FCPM;N/A;;M'BAYA;CONGO;0;0;0
FCPN;N/A;;NOUMBI;CONGO;0;0;0
FCPO;N/A;;PEMO;CONGO;0;0;0
FCPP;PNR;POINTE NOIRE;POINTE-NOIRE;CONGO;-4.813333333;11.88583333;16.764
FCPY;N/A;;LOUKANYI;CONGO;0;0;0
FDGD;N/A;;NHLANGANO;SWAZILAND;0;0;0
FDGL;N/A;;LAVUMISA;SWAZILAND;0;0;0
FDMB;N/A;;MBABANE;SWAZILAND;0;0;0
FDMH;N/A;;MHLUME;SWAZILAND;0;0;0
FDMS;MTS;MATSAPHA;MANZINI;SWAZILAND;-26.52888889;31.3075;632.46
FDST;N/A;;SITEKI;SWAZILAND;0;0;0
FDTM;N/A;;TAMBANKULU;SWAZILAND;0;0;0
FDTS;N/A;;TSHANENI;SWAZILAND;0;0;0
FDU;N/A;;KIMPANGU;ZAIRE;0;0;0
FDUB;N/A;;UBOMBO;SWAZILAND;0;0;0
FEFA;N/A;;ALINDAO;CENTRAL AFRICAN REP.;0;0;0
FEFB;MKI;;OBO;CENTRAL AFRICAN REP.;0;0;0
FEFF;BGF;BANGUI M POKO;BANGUI;CENTRAL AFRICAN REP.;4.398333333;18.51861111;368.1984
FEFG;BGU;BANGASSOU;BANGASSOU;CENTRAL AFRICAN REP.;4.784444444;22.78138889;519.9888
FEFI;IRO;BIRAO;BIRAO;CENTRAL AFRICAN REP.;10.23611111;22.71722222;516.9408
FEFL;BEM;;BOSSEMBELE;CENTRAL AFRICAN REP.;0;0;0
FEFM;BBY;BAMBARI;BAMBARI;CENTRAL AFRICAN REP.;5.846944444;20.64944444;472.1352
FEFN;NDL;NDELE;N'DELE;CENTRAL AFRICAN REP.;8.426666667;20.635;497.1288
FEFO;BOP;BOUAR;BOUAR;CENTRAL AFRICAN REP.;5.958055556;15.6375;1024.128
FEFR;BIV;BRIA;BRIA;CENTRAL AFRICAN REP.;6.528055556;21.98888889;601.98
FEFS;BSN;;BOSSANGOA;CENTRAL AFRICAN REP.;0;0;0
FEFT;BBT;BERBERATI;BERBERATI;CENTRAL AFRICAN REP.;4.221388889;15.78611111;587.9592
FEFY;AIG;YALINGA;YALINGA;CENTRAL AFRICAN REP.;45.15416667;-89.11083333;463.9056
FEFZ;IMO;;ZEMIO;CENTRAL AFRICAN REP.;0;0;0
FEGZ;BOZ;;BOZOUM;CENTRAL AFRICAN REP.;0;0;0
FGBT;BSG;BATA;BATA;EQUATORIAL GUINEA;1.905277778;9.805555556;10.9728
FGSL;SSG;MALABO;MALABO;EQUATORIAL GUINEA;3.755277778;8.708611111;23.1648
FHAW;N/A;ASCENSION AUX AF;WIDE AWAKE;ACORES;-7.969444444;-14.39361111;83.2104
FIMP;MRU;SIR SEEWOOSAGUR RAMGOOLAM INTERNATIONAL;PLAISANCE;MAURITIUS;-20.43;57.68333333;56.6928
FIMR;RRG;PLAINE CORAIL;RODRIGUEZ ISLAND;MAURITIUS;-19.75777778;63.36194444;28.956
FJDG;N/A;DIEGO GARCIA NSF;DIEGO GARCIA ISLAND;DIEGO GARCIA ISLAND;-7.313055556;72.41083333;2.7432
FKAB;N/A;;BANYO;CAMEROON;0;0;0
FKAF;N/A;;BAFIA;CAMEROON;0;0;0
FKAG;N/A;;AMBONG-M'BANG;CAMEROON;0;0;0
FKAL;N/A;;LOMIE;CAMEROON;0;0;0
FKAN;N/A;;N'KONGSAMBA;CAMEROON;0;0;0
FKAO;N/A;;BETARE-OYA;CAMEROON;0;0;0
FKKB;KBI;;KRIBI;CAMEROON;0;0;0
FKKC;TKC;TIKO;TIKO;CAMEROON;4.089166667;9.360277778;46.0248
FKKD;DLA;DOUALA;DOUALA;CAMEROON;4.005833333;9.719444444;10.0584
FKKE;N/A;;ESEKA;CAMEROON;0;0;0
FKKF;MMF;;MAMFE;CAMEROON;0;0;0
FKKG;BLC;;BALI;CAMEROON;0;0;0
FKKH;KLE;;KAELE;CAMEROON;0;0;0
FKKI;OUR;BATOURI;BATOURI;CAMEROON;4.473055556;14.36361111;655.9296
FKKJ;GXX;;YAGOUA;CAMEROON;0;0;0
FKKL;MVR;MAROUA SALAK;MAROUA;CAMEROON;10.45138889;14.25722222;423.9768
FKKM;FOM;FOUMBAN NKOUNJA;FOUMBAN;CAMEROON;5.636666667;10.75055556;1207.9224
FKKN;NGE;NGAOUNDERE;N'GAOUNDERE;CAMEROON;7.356944444;13.55916667;1114.044
FKKO;BTA;;BERTOUA;CAMEROON;0;0;0
FKKR;GOU;GAROUA;GAROUA;CAMEROON;9.335833333;13.37;242.0112
FKKS;DSC;;DSCHANG;CAMEROON;0;0;0
FKKT;N/A;;TIBATI;CAMEROON;0;0;0
FKKU;BFX;BAFOUSSAM;BAFOUSSAM;CAMEROON;5.536944444;10.35416667;1324.9656
FKKV;BPC;BAMENDA;BAMENDA;CAMEROON;6.039166667;10.1225;1239.012
FKKW;EBW;;EBOLOWA;CAMEROON;0;0;0
FKKY;YAO;YAOUNDE;YAOUNDE;CAMEROON;3.835277778;11.52361111;751.0272
FLAT;N/A;;KATETE;ZAMBIA;0;0;0
FLCH;N/A;;CHOMA;ZAMBIA;0;0;0
FLCP;CIP;;CHIPATA;ZAMBIA;0;0;0
FLCS;N/A;;CHINSALI;ZAMBIA;0;0;0
FLDE;N/A;;DELKIN;ZAMBIA;0;0;0
FLEA;N/A;;EAST ONE;ZAMBIA;0;0;0
FLEB;N/A;;EAST TWO;ZAMBIA;0;0;0
FLEC;N/A;;EAST THREE;ZAMBIA;0;0;0
FLED;N/A;;EAST FOUR;ZAMBIA;0;0;0
FLEE;N/A;;EAST FIVE;ZAMBIA;0;0;0
FLEF;N/A;;EAST SIX;ZAMBIA;0;0;0
FLEG;N/A;;EAST SEVEN;ZAMBIA;0;0;0
FLEH;N/A;;EAST EIGHT;ZAMBIA;0;0;0
FLFW;N/A;;FIWILA;ZAMBIA;0;0;0
FLGE;N/A;;MUKINGE;ZAMBIA;0;0;0
FLGW;N/A;;MPONGWE;ZAMBIA;0;0;0
FLIK;N/A;;ISOKA;ZAMBIA;0;0;0
FLIS;N/A;;IKAROS;ZAMBIA;0;0;0
FLKB;N/A;;KAWAMBWA;ZAMBIA;0;0;0
FLKD;N/A;;KALUNDU;ZAMBIA;0;0;0
FLKE;N/A;KASOMPE;KASOMPE;ZAMBIA;-12.57277778;27.89388889;1413.0528
FLKG;N/A;;KALENGWA;ZAIRE;0;0;0
FLKJ;N/A;;KANJA;ZAMBIA;0;0;0
FLKK;N/A;;KAKUMBI;ZAMBIA;0;0;0
FLKL;N/A;KALABO;KALABO;ZAMBIA;-14.9975;22.6475;1051.56
FLKO;N/A;;KAOMA;ZAMBIA;0;0;0
FLKS;KAA;;KASAMA;ZAMBIA;0;0;0
FLKU;N/A;;KANYAU;ZAMBIA;0;0;0
FLKW;N/A;;KABWE;ZAMBIA;0;0;0
FLKY;ZKB;;KASABA BAY;ZAMBIA;0;0;0
FLKZ;N/A;;LUKUZI;ZAMBIA;0;0;0
FLLA;N/A;;LUANSHYA;ZAMBIA;0;0;0
FLLD;N/A;;LUNDAZI;ZAMBIA;0;0;0
FLLI;LVI;LIVINGSTONE;LIVINGSTONE;ZAMBIA;-17.82166667;25.8225;990.6
FLLK;N/A;;LUKULU;ZAMBIA;0;0;0
FLLO;N/A;;KALOMO;ZAIRE;0;0;0
FLLS;LUN;LUSAKA INTERNATIONAL;LUSAKA;ZAMBIA;-15.33055556;28.4525;1151.8392
FLLU;N/A;;LUAMPA;ZAMBIA;0;0;0
FLLY;N/A;;LILAYI;ZAMBIA;0;0;0
FLMA;N/A;MANSA;MANSA;ZAMBIA;-11.13805556;28.875;124.968
FLMB;N/A;;MAAMBA;ZAMBIA;0;0;0
FLMD;N/A;;MUSONDA FALLS;ZAMBIA;0;0;0
FLMF;MFU;MFUWE;MFUWE;ZAMBIA;-13.25861111;31.93638889;573.024
FLMG;N/A;MONGU;MONGU;ZAMBIA;-15.25444444;23.16222222;1056.132
FLMI;N/A;;MUKONCHI;ZAMBIA;0;0;0
FLMK;N/A;;MKUSHI;ZAMBIA;0;0;0
FLML;N/A;MUFULIRA;MUFULIRA;ZAMBIA;-12.56472222;28.29861111;1325.88
FLMM;N/A;;MWAMI;ZAMBIA;0;0;0
FLMO;N/A;;MONZE;ZAMBIA;0;0;0
FLMP;N/A;;MPIKA;ZAMBIA;0;0;0
FLMT;N/A;;MUTANDA;ZAMBIA;0;0;0
FLMU;N/A;;MULOBEZI;ZAMBIA;0;0;0
FLMW;N/A;;MWINILUNGA;ZAMBIA;0;0;0
FLMZ;N/A;;MAZABUKA;ZAMBIA;0;0;0
FLNA;N/A;;NGOMA;ZAIRE;0;0;0
FLND;NLA;NDOLA;NDOLA;ZAMBIA;-12.99805556;28.66472222;1270.1016
FLNL;N/A;;NAMWALA;ZAMBIA;0;0;0
FLNY;N/A;;NYIMBA;ZAMBIA;0;0;0
FLPA;N/A;;KASEMPA;ZAMBIA;0;0;0
FLPE;N/A;;PETAUKE;ZAMBIA;0;0;0
FLPK;N/A;;MPOROKOSO;ZAMBIA;0;0;0
FLPO;N/A;;KABOMPO;ZAMBIA;0;0;0
FLRG;N/A;;RUSANGU;ZAMBIA;0;0;0
FLRO;N/A;;ROSA;ZAMBIA;0;0;0
FLRU;N/A;;RUFANSA;ZAMBIA;0;0;0
FLSA;N/A;;ST. ANTHONY;ZAMBIA;0;0;0
FLSE;N/A;;SERENJE;ZAMBIA;0;0;0
FLSH;N/A;;SHIWAN'GANDU;ZAMBIA;0;0;0
FLSJ;N/A;;SAKEJI;ZAMBIA;0;0;0
FLSM;N/A;;ST. MARY'S;ZAMBIA;0;0;0
FLSN;N/A;;SENANGA;ZAMBIA;0;0;0
FLSO;KIW;SOUTHDOWNS;SOUTHDOWNS;ZAMBIA;-12.90027778;28.14972222;1263.396
FLSS;N/A;;SESHEKE;ZAMBIA;0;0;0
FLSW;N/A;;SOLWEZI;ZAMBIA;0;0;0
FLWA;N/A;;WEST ONE;ZAMBIA;0;0;0
FLWB;N/A;;WEST TWO;ZAMBIA;0;0;0
FLWC;N/A;;WEST THREE;ZAMBIA;0;0;0
FLWD;N/A;;WEST FOUR;ZAMBIA;0;0;0
FLWE;N/A;;WEST FIVE;ZAMBIA;0;0;0
FLWF;N/A;;WEST SIX;ZAMBIA;0;0;0
FLWG;N/A;;WEST SEVEN;ZAMBIA;0;0;0
FLWW;N/A;;WAKA WAKA;ZAMBIA;0;0;0
FLYA;N/A;;SAMFYA;ZAMBIA;0;0;0
FLZB;N/A;ZAMBEZI;ZAMBEZI;ZAMBIA;-13.53861111;23.10972222;1078.3824
FMCH;HAH;MORONI HAHAIA;MORONI;COMOROS ISLANDS;-11.53361111;43.27166667;27.1272
FMCI;NWA;MOHELI BANDAR ES SALAM;MOHELI;COMOROS ISLANDS;-12.29805556;43.76638889;14.0208
